family,n,m,alg,opt,ratio
gnp,13,48,4,4,1.000000
gnp,14,44,5,5,1.000000
gnp,9,16,4,4,1.000000
gnp,10,14,5,5,1.000000
gnp,6,11,2,2,1.000000
gnp,15,72,4,4,1.000000
gnp,9,10,4,4,1.000000
gnp,15,16,9,9,1.000000
gnp,9,27,3,3,1.000000
gnp,13,17,7,7,1.000000
gnp,6,3,4,4,1.000000
gnp,9,25,3,3,1.000000
gnp,15,56,4,4,1.000000
gnp,9,13,4,4,1.000000
gnp,16,50,6,6,1.000000
gnp,10,14,4,4,1.000000
gnp,16,79,4,4,1.000000
gnp,6,15,1,1,1.000000
gnp,14,35,5,5,1.000000
gnp,12,17,6,6,1.000000
gnp,8,23,2,2,1.000000
gnp,9,25,3,3,1.000000
gnp,8,19,3,3,1.000000
gnp,14,43,5,5,1.000000
gnp,14,50,4,4,1.000000
gnp,9,9,5,5,1.000000
gnp,16,30,8,8,1.000000
gnp,11,13,6,6,1.000000
gnp,6,7,3,3,1.000000
gnp,7,4,4,4,1.000000
gnp,13,24,5,5,1.000000
gnp,10,39,2,2,1.000000
gnp,9,26,3,3,1.000000
gnp,13,64,3,3,1.000000
gnp,12,47,3,3,1.000000
gnp,10,17,5,5,1.000000
gnp,10,15,5,5,1.000000
gnp,13,20,7,7,1.000000
gnp,11,44,3,3,1.000000
gnp,11,20,5,5,1.000000
gnp,8,5,5,5,1.000000
gnp,10,10,6,6,1.000000
gnp,9,15,4,4,1.000000
gnp,13,45,3,3,1.000000
gnp,10,32,3,3,1.000000
gnp,16,89,3,3,1.000000
gnp,8,20,3,3,1.000000
gnp,8,5,5,5,1.000000
gnp,8,22,2,2,1.000000
gnp,14,14,7,7,1.000000
gnp,16,29,7,7,1.000000
gnp,12,15,6,6,1.000000
gnp,7,13,3,3,1.000000
gnp,9,17,4,4,1.000000
gnp,6,13,2,2,1.000000
gnp,16,59,5,5,1.000000
gnp,14,58,3,3,1.000000
gnp,6,7,3,3,1.000000
gnp,14,78,2,2,1.000000
gnp,14,69,3,3,1.000000
gnp,8,9,4,4,1.000000
gnp,14,23,8,8,1.000000
gnp,15,54,5,5,1.000000
gnp,10,35,2,2,1.000000
gnp,11,43,3,3,1.000000
gnp,15,39,5,5,1.000000
gnp,10,24,3,3,1.000000
gnp,16,98,3,3,1.000000
gnp,7,8,3,3,1.000000
gnp,14,47,5,5,1.000000
gnp,8,7,6,6,1.000000
gnp,16,67,5,5,1.000000
gnp,14,69,3,3,1.000000
gnp,9,28,3,3,1.000000
gnp,10,6,8,8,1.000000
gnp,16,101,3,3,1.000000
gnp,8,23,2,2,1.000000
gnp,6,12,2,2,1.000000
gnp,12,56,2,2,1.000000
gnp,8,12,4,4,1.000000
gnp,16,91,4,4,1.000000
gnp,12,42,3,3,1.000000
gnp,7,12,3,3,1.000000
gnp,6,2,4,4,1.000000
gnp,7,6,5,5,1.000000
gnp,11,8,8,8,1.000000
gnp,13,44,4,4,1.000000
gnp,14,72,3,3,1.000000
gnp,8,17,3,3,1.000000
gnp,7,18,2,2,1.000000
gnp,9,24,3,3,1.000000
gnp,10,14,5,5,1.000000
gnp,12,30,4,4,1.000000
gnp,7,3,4,4,1.000000
gnp,13,26,7,7,1.000000
gnp,7,5,5,5,1.000000
gnp,12,33,4,4,1.000000
gnp,7,3,5,5,1.000000
